nama_tahun;nama_turunan_tahun;data_content
2017;Januari;11579
2017;Februari;11571.24
2017;Maret;11494
2017;April;11449
2017;Mei;11465
2017;Juni;11465
2017;Juli;11448
2017;Agustus;11411
2017;September;11481.84
2017;Oktober;11552
2017;November;116.650.841.864.534
2017;Desember;11838
2017;Tahunan;115.349.300.655.641
2018;Januari;12276
2018;Februari;12414
2018;Maret;12299
2018;April;12035
2018;Mei;11943
2018;Juni;119.072.646.547.513
2018;Juli;11936
2018;Agustus;11899
2018;September;11900
2018;Oktober;119.262.109.314.416
2018;November;12013
2018;Desember;121.057.744.677.297
2018;Tahunan;120.544.801.330.707
2019;Januari;12.211.094.705.599
2019;Februari;12222
2019;Maret;12124
2019;April;12019
2019;Mei;12008
2019;Juni;12009
2019;Juli;12021
2019;Agustus;12018
2019;September;12050
2019;Oktober;12108
2019;November;12120
2019;Desember;121.830.330.305.105
2020;Januari;12342.74
2020;Februari;12355.15
2020;Maret;12368
2020;April;12382.1
2020;Mei;12293.03
2020;Juni;12223.98
2020;Juli;12212.63
